"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C5";"CP_Radial_D13.0mm_P5.00mm";1;"1000uF 35V LOW ESR";;;
2;"C4";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"220nF";;;
3;"C3";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"100nF";;;
4;"C1";"CP_Radial_D10.0mm_P5.00mm";1;"47uF";;;
5;"C2";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"10nF";;;
6;"J2";"PinHeader_2x05_P2.54mm_Horizontal";1;"Flat_7seg_F";;;
7;"R14,R18,R19,R20";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"22k";;;
8;"R15,R16,R17";"R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal";3;"22k";;;
9;"U1";"DIP-20_W7.62mm";1;"ATtiny2313-20PU";;;
10;"D1,D2,D3,D4,D5,D6";"LED_D5.0mm";6;"LED_2V_20mA";;;
11;"D7";"LED_D5.0mm";1;"LED_2V_20mA_G";;;
12;"D8";"LED_D5.0mm";1;"LED_2V_20mA_F";;;
13;"D9";"LED_D5.0mm";1;"LED_2V_20mA_E";;;
14;"D10";"LED_D5.0mm";1;"LED_2V_20mA_D";;;
15;"D11";"LED_D5.0mm";1;"LED_2V_20mA_C";;;
16;"D12";"LED_D5.0mm";1;"LED_2V_20mA_B";;;
17;"D13";"LED_D5.0mm";1;"LED_2V_20mA_A";;;
18;"J0";"conn_hdd_15-24-4441";1;"Molex_PSU_F";;;
19;"J3";"PinHeader_2x03_P2.54mm_Horizontal";1;"Rpi_DATA_F_3.3V";;;
20;"Q0,Q1,Q2,Q3,Q4,Q5,Q6";"TO-126-3_Vertical";7;"BD139-16";;;
21;"R0,R1,R2,R3,R4,R5,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";7;"1k";;;
22;"R7,R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"33k";;;
23;"R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10k";;;
24;"R9,R10,R11,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"1k5";;;
